Gender,Age Group,Current Position,Primary Role in Environmental Surveillance for Polio Eradication ,Years of Experience ,Location/State of Primary Assignment,Are you aware of environmental surveillance (ES) activities in your area? ,"How familiar are you with the processes of ES (sewage sampling, lab testing)?",What is environmental surveillance about?,Have you received formal training on ES? ,How effective is ES in detecting poliovirus compared to  Acute Flaccid Paralysis (AFP) ?,Has ES in your area contributed to early detection of poliovirus cases? ,ES has played a role in polio eradication in Nigeria,Challenges encountered in ES (check all that apply),Frequency of environmental sample collection,Do you work with both AFP and ES systems? ,Which system has faster virus detection? ,Key differences observed between ES and AFP,What can be done to improve ES in your region? ,Should ES be expanded nationwide? Why/why not? 
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Jakusko local government ,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly disagree,Inadequate training,Monthly,Yes,AFP,,Constant training of personal ,Yes to may it known to everyone to reduce the risk of dieses transmission 
Male,31-'40,Environmental Health Officer,Sample collection,Over 15 years,YOBE STATE primary Health care Board ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Logistical/transport issues,Monthly,Yes,Both,Environment sample is All about the taking the sample in goter directly while the AFP is taking through the stool from the community to the Lab ,It improves through the digital version like handroi phone ,Yes support to be 
Male,41-'50,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,YOBE/ P H C C NANGERE ,Yes,Very familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,Yes,Agree,Lack of community awareness,Weekly,Yes,Both,Both,AFP,ES
Male,51+,Health planing and research officer ,Supervision/Coordination,Over 15 years,Yobe,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Delay in lab analysis;Insecurity in sampling areas,Monthly,Yes,Both,ES supervisions was carryout by environmental health practitioners while AFP by DSNO's,Join supervisions,"Yes, because must of diseases are of water born and environmental pollution "
Female,18-'30,Environmental Health Officer,Supervision/Coordination,5-'10 years,GEIDAM ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding,Monthly,No,AFP,ES collect and test sewage samples for poliovirus AFP identify and investigate cases of AFP in children ,1 engage in spiritual practices 2 cultivate a supportive community 3 apply your faith in daily life ,Why not 
Male,51+,Environmental Health Officer,Supervision/Coordination,Over 15 years,Yobe ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,No,Not sure,,,
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Ogun State ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Insecurity in sampling areas,Weekly,Yes,Both,,Improve funding and training yes,Yes 
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Ogun state,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,No,Not sure,Routine inspection ,Re training of officers,Yes 
Female,41-'50,Environmental Health Officer,Supervision/Coordination,Over 15 years,Yobe state primary health care management board Damaturu,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Weekly,No,Both,The difference is ES is analysis in lab while Afp is by mere looking ,Effective lab analysis and funding ,Why not
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Ilorin West ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding,Monthly,No,ES,"Es-Sanitary Inspector, Environment health officer, while AFP:-promote health services and community involvement ",Improve hygiene and Environmental health Services ,"Yes , for wild coverage "
