Gender,Age Group,Current Position,Primary Role in Environmental Surveillance for Polio Eradication,Years of Experience,Location/State of Primary Assignment,Are you aware of environmental surveillance (ES) activities in your area?,"How familiar are you with the processes of ES (sewage sampling, lab testing)?",What is environmental surveillance about?,Have you received formal training on ES?,How effective is ES in detecting poliovirus compared to  Acute Flaccid Paralysis (AFP) ?,Has ES in your area contributed to early detection of poliovirus cases?,ES has played a role in polio eradication in Nigeria,Frequency of environmental 2,Do you work with both AFP and ES systems?,Which system has faster virus detection?,Challenge_Poor_funding,Challenge_Inadequate_training,Challenge_Sample_collection_difficulties,Challenge_Delay_in_lab_analysis,Challenge_Insecurity_in_sampling_areas,Challenge_Logistical/transport_issues,Challenge_Lack_of_community_awareness,Challenge_Other…,Gender_label,Gender_code,Age Group_label,Age Group_code,Current Position_label,Current Position_code,Years of Experience_label,Years of Experience_code,Are you aware of environmental surveillance (ES) activities in your area?_label,Are you aware of environmental surveillance (ES) activities in your area?_code,"How familiar are you with the processes of ES (sewage sampling, lab testing)?_label","How familiar are you with the processes of ES (sewage sampling, lab testing)?_code",What is environmental surveillance about?_label,What is environmental surveillance about?_code,Have you received formal training on ES?_label,Have you received formal training on ES?_code,How effective is ES in detecting poliovirus compared to  Acute Flaccid Paralysis (AFP) ?_label,How effective is ES in detecting poliovirus compared to  Acute Flaccid Paralysis (AFP) ?_code,Has ES in your area contributed to early detection of poliovirus cases?_label,Has ES in your area contributed to early detection of poliovirus cases?_code,ES has played a role in polio eradication in Nigeria_label,ES has played a role in polio eradication in Nigeria_code,Do you work with both AFP and ES systems?_label,Do you work with both AFP and ES systems?_code,Primary Role in Environmental Surveillance for Polio Eradication_label,Primary Role in Environmental Surveillance for Polio Eradication_code,Which system has faster virus detection?_label,Which system has faster virus detection?_code,state_label
2,3,3,1,4,Yobe,1,1,2,0,3,1,1,2,1,1,0,1,0,0,0,0,0,0,Female,2,41-50,3,Environmental Health Officer,3,Over 15 years,4,Yes,1,Not familiar,1,Monitoring and analyzing environmental hazards,2,No,0,More effective,3,Yes,1,Strongly disagree,1,Yes,1,Routine Inspection of Premises,1,Acute Flaccid Paralysis (AFP),1,Yobe
1,2,3,2,4,Yobe,1,2,2,0,3,1,5,2,1,3,0,0,0,0,0,1,0,0,Male,1,31-40,2,Environmental Health Officer,3,Over 15 years,4,Yes,1,Somewhat familiar,2,Monitoring and analyzing environmental hazards,2,No,0,More effective,3,Yes,1,Strongly agree,5,Yes,1,Sample collection,2,Both,3,Yobe
1,3,3,1,4,Yobe,1,3,3,1,3,1,4,4,1,3,0,0,0,0,0,0,1,0,Male,1,41-50,3,Environmental Health Officer,3,Over 15 years,4,Yes,1,Very familiar,3,Enforcing workplace safety regulations,3,Yes,1,More effective,3,Yes,1,Agree,4,Yes,1,Routine Inspection of Premises,1,Both,3,Yobe
1,4,5,3,4,Yobe,1,2,2,1,3,1,5,2,1,3,0,0,0,1,1,0,0,0,Male,1,51+,4,Other,5,Over 15 years,4,Yes,1,Somewhat familiar,2,Monitoring and analyzing environmental hazards,2,Yes,1,More effective,3,Yes,1,Strongly agree,5,Yes,1,Supervision/Coordination,3,Both,3,Yobe
2,1,3,3,2,Yobe,1,3,2,1,3,1,5,2,0,1,1,0,0,0,0,0,0,0,Female,2,18-30,1,Environmental Health Officer,3,5-10 years,2,Yes,1,Very familiar,3,Monitoring and analyzing environmental hazards,2,Yes,1,More effective,3,Yes,1,Strongly agree,5,No,0,Supervision/Coordination,3,Acute Flaccid Paralysis (AFP),1,Yobe
1,4,3,3,4,Yobe,1,3,2,0,2,1,5,2,0,4,1,1,1,1,1,1,1,0,Male,1,51+,4,Environmental Health Officer,3,Over 15 years,4,Yes,1,Very familiar,3,Monitoring and analyzing environmental hazards,2,No,0,Equally effective,2,Yes,1,Strongly agree,5,No,0,Supervision/Coordination,3,Not sure,4,Yobe
1,2,3,1,4,Ogun,1,3,2,1,3,1,4,4,1,3,0,0,0,0,1,0,0,0,Male,1,31-40,2,Environmental Health Officer,3,Over 15 years,4,Yes,1,Very familiar,3,Monitoring and analyzing environmental hazards,2,Yes,1,More effective,3,Yes,1,Agree,4,Yes,1,Routine Inspection of Premises,1,Both,3,Ogun
2,3,3,1,1,Ogun,1,2,2,1,2,2,4,2,0,4,1,1,1,1,1,1,1,0,Female,2,41-50,3,Environmental Health Officer,3,Less than 5 years,1,Yes,1,Somewhat familiar,2,Monitoring and analyzing environmental hazards,2,Yes,1,Equally effective,2,Not sure,2,Agree,4,No,0,Routine Inspection of Premises,1,Not sure,4,Ogun
2,3,3,3,4,Yobe,1,2,2,0,3,1,5,4,0,3,1,1,1,1,1,1,1,0,Female,2,41-50,3,Environmental Health Officer,3,Over 15 years,4,Yes,1,Somewhat familiar,2,Monitoring and analyzing environmental hazards,2,No,0,More effective,3,Yes,1,Strongly agree,5,No,0,Supervision/Coordination,3,Both,3,Yobe
1,2,3,1,1,Kwara,1,3,2,1,3,1,4,2,0,2,1,0,0,0,0,0,0,0,Male,1,31-40,2,Environmental Health Officer,3,Less than 5 years,1,Yes,1,Very familiar,3,Monitoring and analyzing environmental hazards,2,Yes,1,More effective,3,Yes,1,Agree,4,No,0,Routine Inspection of Premises,1,Environmental Surveillance (ES),2,Kwara
