Gender,Age Group,Current Position,Primary Role in Environmental Surveillance for Polio Eradication ,Years of Experience ,Location/State of Primary Assignment,Are you aware of environmental surveillance (ES) activities in your area? ,"How familiar are you with the processes of ES (sewage sampling, lab testing)?",What is environmental surveillance about?,Have you received formal training on ES? ,How effective is ES in detecting poliovirus compared to  Acute Flaccid Paralysis (AFP) ?,Has ES in your area contributed to early detection of poliovirus cases? ,ES has played a role in polio eradication in Nigeria,Challenges encountered in ES (check all that apply),Frequency of environmental sample collection,Do you work with both AFP and ES systems? ,Which system has faster virus detection? 
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Yobe ,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly disagree,Inadequate training,Monthly,Yes,AFP
Male,31-'40,Environmental Health Officer,Sample collection,Over 15 years,Yobe ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Logistical/transport issues,Monthly,Yes,Both
Male,41-'50,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Yobe,Yes,Very familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,Yes,Agree,Lack of community awareness,Weekly,Yes,Both
Male,51+,Health planing and research officer ,Supervision/Coordination,Over 15 years,Yobe,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Delay in lab analysis;Insecurity in sampling areas,Monthly,Yes,Both
Female,18-'30,Environmental Health Officer,Supervision/Coordination,5-'10 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding,Monthly,No,AFP
Male,51+,Environmental Health Officer,Supervision/Coordination,Over 15 years,Yobe ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,No,Not sure
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Ogun ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Insecurity in sampling areas,Weekly,Yes,Both
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Ogun,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,No,Not sure
Female,41-'50,Environmental Health Officer,Supervision/Coordination,Over 15 years,Yobe,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Weekly,No,Both
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,Less than 5 years,Kwara ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding,Monthly,No,ES
Male,18-'30,Environmental Health Officer,Data management and reporting,Less than 5 years,Bauchi,Yes,Not familiar,Studying genetic diseases to develop personalized medical treatments,No,Don't know,Not sure,Neutral,Inadequate training;Lack of community awareness,Not applicable,No,Not sure
Male,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Not sure,Agree,Inadequate training,Weekly,Yes,Both
Male,51+,Environmental Health Officer,Supervision/Coordination,Over 15 years,Yobe ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,More effective,Yes,Strongly agree,Poor funding;Logistical/transport issues;Lack of community awareness,Monthly,Yes,Both
Male,41-'50,Environmental Health Officer,Routine Inspection of Premises,Over 15 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Strongly agree,Delay in lab analysis;Insecurity in sampling areas;Lack of community awareness,Monthly,Yes,Both
Male,18-'30,Environmental Health Officer,Supervision/Coordination,Less than 5 years,Yobe ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Strongly agree,Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Lack of community awareness,Weekly,Yes,AFP
Male,18-'30,Health Facility Worker,Supervision/Coordination,5-'10 years,Yobe ,Yes,Very familiar,Tracking wildlife populations to maintain ecological balance and biodiversity,No,Equally effective,Yes,Agree,Insecurity in sampling areas,,Yes,Both
Male,31-'40,Health Facility Worker,Supervision/Coordination,5-'10 years,Yobe ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Not sure,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Insecurity in sampling areas;Logistical/transport issues,Not applicable,No,AFP
Male,51+,Environmental Health Officer,Sample collection,Over 15 years,Kaduna ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,Yes,Both
Female,41-'50,Scientific officer,Routine Inspection of Premises,5-'10 years,Ogun,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Not applicable,No,Not sure
Male,31-'40,Environmental Health Officer,Supervision/Coordination,5-'10 years,Yobe,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Less effective,No,Agree,Inadequate training,Monthly,Yes,AFP
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Kwara,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding,Monthly,No,Both
Female,51+,Surveillance Officer,Sample collection,11-'15 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Delay in lab analysis;Insecurity in sampling areas;Lack of community awareness,Weekly,Yes,AFP
Male,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Yobe,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Equally effective,Yes,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Lack of community awareness,Weekly,Yes,ES
Female,31-'40,Environmental Health Officer,Sample collection,11-'15 years,Yobe,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding,Monthly,Yes,ES
